loan_acc_num,missed_repayments,loan_amount,collateral_value,interest
LN68018104,20356.92,35674,9802.84,8.9
LN22977990,2615.98,6300,1352.06,9.2
LN97305354,371142.2,580206,69393.28,13.8
LN98926596,15726.35,23178,59.14,14.3
LN91748715,329444.98,496040,52663.42,14.2
LN83032450,139391.79,218186,19492.55,9.9
LN88036997,2665.73,4867,898.41,8.1
LN52647528,6207.23,13640,2967.06,10.3
LN55360317,374176.28,271545,47876.43,14.3
LN33296550,11859.53,11590,2588.73,14.6
LN63969093,159067.09,241596,15280.67,14.1
LN15108399,7310.03,15489,5.28,9.2
LN31471585,838071.93,890765,16314.98,13.8
LN26558637,23335.19,23268,5802.86,10.7
LN75938877,10190.89,17913,151.52,8.8
LN82198354,231707.63,248119,24201.42,10.1
LN69322396,57123.22,75601,22030.01,8.3
LN22387074,73519.59,155536,2187.78,9.4
LN20489576,265972.93,278755,38846.11,10.3
LN49634181,1728528.32,1014958,214364.37,9.7
LN88784706,1166089.67,1848865,30526.89,9.8
LN19169920,213379.36,320812,21977.66,12.5
LN23338568,60784.45,54647,7605.72,11.8
LN33166544,883389.65,1417075,18187.84,9.7
LN84781000,1486494.25,1340542,301001.95,11.8
LN39153398,819464.56,1113943,85536.87,11.2
LN46949087,126064.97,57003,7916.11,12.4
LN55832006,97849.87,186859,41130.05,11.8
LN13684543,248304.59,299485,74059.75,12.4
LN23213064,22128.51,36043,10081.47,9.5
LN53216641,5749.57,2802,324.93,11.2
LN14656382,834165.69,1249185,193104.56,10.3
LN18157481,1170332.41,461900,77862.26,14.1
LN68015376,5893.72,11210,1596.41,8.1
LN49473834,126702.67,50320,4957.52,14.0
LN78628422,68631.21,103667,14749.06,10.2
LN65494464,102316.45,252678,11246.41,9.6
LN23349030,3670.0,3290,695.6,11.3
LN83834516,408707.91,423255,120306.81,14.1
LN62492395,146650.79,218608,22911.43,14.3
LN73189964,927335.25,1513032,145609.74,11.7
LN77930488,4397.53,5167,516.05,14.7
LN24821254,823212.62,1682219,498403.81,9.7
LN71549781,296971.0,367862,66869.39,14.6
LN92794833,10597.42,21515,1255.62,9.6
LN59090070,3663.63,10241,1644.8,8.3
LN60787099,17480.57,21691,5102.15,12.0
LN89405012,62564.08,87520,24341.9,10.9
LN66571061,1096069.14,487907,24744.81,12.6
LN19755014,438518.01,410842,72120.19,11.4
LN23987069,1100980.31,409474,119263.59,14.9
LN38395505,333751.73,239654,40505.14,8.0
LN73984097,10332.46,18403,2095.4,8.7
LN10501187,57494.04,44417,8913.54,13.5
LN65696102,1297691.86,1367534,7037.45,13.9
LN92929356,304422.66,387144,31814.82,14.3
LN41444190,15569.12,10571,1884.3,15.0
LN10447568,37163.34,52002,2788.64,13.2
LN65637965,23933.64,55144,7245.61,8.7
LN79887251,2966600.16,1095524,7863.44,15.0
LN56916381,79640.31,116446,24695.22,14.5
LN47865036,219120.66,228777,42329.11,14.0
LN10403731,239774.24,243442,37364.5,10.6
LN99764093,7379.28,9413,382.68,8.4
LN24082921,258643.5,262615,75346.17,10.6
LN34529324,1447617.6,1943813,17119.5,13.7
LN99737322,50905.76,93987,16778.32,12.1
LN19377254,1697570.09,1742870,144688.21,10.5
LN85943914,3461.18,4726,112.92,12.9
LN26905970,25365.91,13737,4008.78,10.4
LN19434269,33691.08,40814,10022.28,12.3
LN70538691,202922.28,171415,41258.04,12.5
LN70934417,1135.95,2220,412.03,8.6
LN56143090,636602.85,261135,30563.32,13.6
LN39653135,40858.38,41779,4276.9,14.2
LN98997789,94756.52,163081,22472.34,12.8
LN60548575,45075.54,19982,3820.96,12.6
LN95714923,14465.55,19205,462.96,11.3
LN33696901,11244.69,15064,591.44,8.1
LN77044804,278310.53,511412,4342.1,10.6
LN20606060,432514.98,836254,145037.22,11.7
LN53959701,809221.44,797189,146230.95,14.7
LN24827308,6892.39,11420,2730.95,9.2
LN56760515,21248.22,21617,789.76,10.5
LN30345878,4497.5,7238,762.6,9.3
LN17090133,15371.91,20200,1024.04,13.8
LN67116142,823111.43,607190,57972.34,14.1
LN46062804,792489.81,335657,40196.45,13.2
LN39960171,1333154.74,898985,233193.72,8.5
LN47163475,1389552.03,1059231,113691.46,13.7
LN29089220,5124.92,13558,975.7,8.8
LN41340136,648006.81,1324100,160824.92,9.7
LN16350059,18814.87,22647,6154.73,9.0
LN71150646,89216.9,206767,15896.4,8.7
LN59787462,11975.39,6559,1822.64,10.2
LN27493533,313404.16,737367,52246.79,8.6
LN81638817,126804.79,145857,18247.38,12.9
LN52757192,128573.02,268392,52002.24,11.0
LN45769463,255462.71,458540,101115.23,12.4
LN93227323,329916.83,442812,70154.48,13.7
LN75742314,188473.5,380193,83702.6,9.8
LN42102044,27704.71,16153,4137.69,9.7
LN36144523,199952.46,93679,21666.34,12.0
LN53582483,2591875.81,1791922,218736.96,8.3
LN90574010,1665926.54,1614764,34132.71,14.9
LN14209534,44945.1,56955,2998.37,14.3
LN26702588,15220.99,21749,6410.04,12.9
LN84802135,258314.84,740067,112117.17,8.5
LN13017406,137385.08,212566,19274.05,13.9
LN59475313,8567.82,8118,382.41,14.9
LN77755239,346971.33,338197,28006.95,11.0
LN85221832,339069.58,577459,63006.64,9.2
LN93794667,388006.84,468457,83280.91,14.9
LN73013378,7441.26,17917,4919.46,9.6
LN16916220,513450.66,378705,15047.3,14.1
LN17459922,27576.96,20703,4715.43,13.8
LN88046084,1058865.37,1807498,486543.24,12.9
LN42732296,1083900.54,1067646,258847.37,10.9
LN77979813,37043.34,15118,1288.91,13.6
LN95544081,16811.02,18614,4776.69,9.7
LN29821999,68298.93,94908,1217.45,13.3
LN47442620,322617.85,505403,61448.1,9.9
LN82634177,189138.68,296172,22889.42,9.9
LN17924252,284033.95,227652,9736.21,13.1
LN84174171,36915.91,34423,8731.0,11.4
LN72734110,15399.53,7394,249.71,11.6
LN94057617,204687.07,177689,30103.63,12.2
LN89310704,676163.73,344337,45996.03,11.1
LN75339531,84883.71,125252,9006.16,14.4
LN32402408,126481.69,136840,1950.22,10.0
LN84545319,128779.67,215225,288.27,13.1
LN51722850,328282.71,424971,13288.17,14.1
LN34734029,800977.74,1148060,266211.31,13.0
LN63407497,41412.06,91306,9482.77,10.5
LN44594242,439877.87,237521,67195.56,10.5
LN10315464,421439.0,425531,71746.82,14.4
LN71768630,81142.83,101214,1286.16,14.5
LN36927249,2685509.2,1093237,236345.19,13.7
LN60233606,79715.98,176179,3001.53,10.5
LN70886661,348082.78,195792,42383.34,10.1
LN15570646,15835.68,28447,2517.03,10.7
LN57190034,166010.19,69129,6222.66,13.4
LN83438528,1990995.16,1023866,303917.69,11.0
LN80262652,98717.22,161686,40667.0,13.3
LN68788968,2590.04,5775,1650.48,9.8
LN26119794,30718.6,37511,5302.55,14.7
LN52151248,50132.23,65174,15874.93,11.6
LN96677637,14835.78,6102,767.73,13.4
LN60425351,28043.11,20066,4554.44,14.4
LN74758591,180625.85,224852,45026.02,8.8
LN67180825,130663.67,222115,22203.49,11.3
LN69074978,13461.52,17810,3000.77,13.7
LN61189536,6545.66,9943,678.84,13.8
LN90609200,74603.82,193906,12771.66,9.2
LN92711630,2446849.21,1362749,289736.2,10.2
LN75545030,180768.17,356980,13677.2,11.5
LN15633759,115833.43,214341,33259.89,12.1
LN25269979,1119013.97,1788453,481623.4,11.9
LN37521023,349508.19,474954,93459.06,11.2
LN12973920,15505.38,17964,3669.99,9.3
LN69771794,562481.69,1223333,260303.14,9.2
LN59287657,1034373.06,1501969,350847.22,14.6
LN83995692,407777.98,284552,14989.56,14.8
LN34957077,2208246.31,1991515,562241.1,11.8
LN88682510,86448.12,161568,47936.48,12.0
LN85152194,191365.14,288016,18212.05,14.2
LN63946738,27474.99,68362,1662.52,9.5
LN84003890,439443.26,1008730,245211.69,10.2
LN27163468,132117.48,91211,12960.05,8.3
LN81275781,12567.23,11158,1584.32,11.8
LN81234788,282979.68,283296,10042.07,14.5
LN95654931,466292.12,1395048,262621.62,8.2
LN50503286,347514.09,136064,10064.74,14.2
LN42711369,220062.31,246338,23635.17,9.7
LN66197598,9684.18,13914,3921.73,14.5
LN69450310,87084.15,252690,13657.75,8.4
LN67708896,4461.19,6612,108.55,10.0
LN29163973,340105.35,679434,118172.74,11.4
LN22370280,18993.77,8660,195.24,12.2
LN31598918,74229.61,167971,6242.32,10.3
LN15239445,71145.12,99413,4035.65,15.0
LN21628982,256679.38,277476,52998.57,13.6
LN16875812,63111.9,74692,12188.06,9.2
LN30447040,1475702.35,1453924,80411.66,14.7
LN40896871,308203.44,326547,13015.85,10.2
LN23141592,8529.23,17454,4940.59,9.5
LN72573670,211615.21,168116,18103.17,13.2
LN93561211,54120.57,70681,6413.56,8.4
LN60955106,4278980.45,1812697,296415.34,13.2
LN92765446,102452.3,209008,55589.05,9.7
LN22642529,12384.51,24320,6107.22,9.9
LN41271134,17532.48,21330,4686.6,12.2
LN48802057,346964.27,159785,40597.45,12.2
LN97400362,159632.38,113077,15461.16,8.1
LN62672331,5632.02,5355,1059.93,10.9
LN33403322,95205.37,172751,50370.73,10.7
LN54518267,3387.99,7941,980.4,8.2
LN18360141,121428.27,158911,46651.35,8.4
LN28194482,188451.48,253335,57783.03,11.3
LN28818724,11186.82,19948,2911.1,8.7
LN64268011,34428.25,23973,3444.55,8.2
LN31093748,83479.52,151177,8919.72,12.3
LN59421681,90462.42,105932,8144.87,12.7
LN40717844,42267.93,85040,20875.37,11.3
LN52793169,133017.87,290821,17416.24,10.6
LN92453721,999457.93,1858501,455796.57,10.5
LN38728429,37964.4,57426,17009.61,14.1
LN38909033,113691.23,193782,6100.6,12.9
LN13159310,5962.27,11649,1164.43,11.3
LN73100259,377683.29,274099,57196.09,14.3
LN10341140,125763.41,160445,9792.84,8.6
LN65223479,85777.13,168337,49890.47,8.1
LN79413539,8500.29,12165,3373.42,14.5
LN47097431,88569.18,165543,32432.58,12.0
LN66870612,95230.58,118828,4567.78,14.5
LN72807659,1141454.81,1404169,376278.99,12.2
LN31367057,546436.16,532729,149764.84,11.0
LN38665534,99259.82,172341,8855.22,11.1
LN81411594,941029.05,1187137,254816.46,8.7
LN13708227,2473791.25,954581,250619.4,14.4
LN47129264,3084013.37,1147132,246674.08,14.9
LN72347707,2796365.08,1755881,101737.11,9.1
LN51969065,9226.49,21270,2565.88,8.6
LN35554844,80649.36,109386,16872.21,11.2
LN29142596,325378.73,797798,104536.6,8.3
LN52134429,942280.48,1376819,84146.92,12.8
LN37705840,836683.62,1214859,85987.72,14.6
LN58994289,64026.24,62903,4217.98,14.7
LN14527823,13211.93,5515,993.14,13.2
LN34436380,1577159.63,978984,131434.18,9.2
LN73947972,413352.86,256489,21747.69,9.2
LN17459827,221140.77,276274,13217.84,14.5
LN78294849,1700869.14,1692680,186676.89,10.8
LN28248289,36215.74,20274,342.62,10.1
LN91831302,218372.4,87452,2272.53,13.9
LN64991493,157317.21,281566,60737.83,8.8
LN73897439,1608110.71,1616923,226892.98,10.7
LN18997280,1465778.08,1921105,114008.18,8.4
LN72825008,71862.57,144864,22102.19,11.3
LN77009808,86389.37,53510,4664.53,9.2
LN18046364,147731.14,308433,14750.01,11.0
LN85570992,236835.93,306523,198.27,14.1
LN19373593,156533.91,295988,59697.71,11.9
LN20916977,1105243.67,1713409,328941.01,12.2
LN60810803,317188.39,418035,89604.8,13.9
LN67476377,151438.49,140386,5704.61,11.5
LN19267768,181327.44,256886,24704.58,10.8
LN46133063,181389.2,168192,36268.9,11.5
LN60886500,9511.97,13349,3007.26,10.7
LN94496668,7904.17,22089,2133.71,8.5
LN49144489,392277.31,644211,30494.88,9.5
LN50614004,3064997.28,1655648,56656.48,10.5
LN79193909,128575.08,216223,62724.79,11.4
LN53871056,4407.03,12076,19.26,8.5
LN96964626,1394519.25,1838787,73252.85,13.9
LN50735331,173267.2,289669,15276.72,13.1
LN94806439,147056.06,421076,107887.38,8.5
LN81892897,44772.13,63903,5477.78,10.7
LN29525923,2611640.08,1698486,40600.8,8.8
LN23582135,23096.95,24355,2862.64,13.8
LN76030750,20705.24,16599,4589.61,13.0
LN43860735,605573.13,233621,9138.06,14.4
LN38504118,310624.19,740844,13177.02,8.5
LN23308546,5943.6,7822,1967.2,11.2
LN85499593,3949357.94,1659604,67962.64,13.3
LN46182529,242568.01,216549,32523.84,11.9
LN90299910,670695.97,266706,3670.73,14.0
LN46760410,50142.93,23849,7120.82,11.8
LN66293843,422799.04,885332,227303.24,9.5
LN57832146,1793565.4,1923223,522873.61,13.7
LN78480737,348449.2,216199,51469.59,9.2
LN54325708,91279.41,93581,1399.44,14.2
LN59801350,50774.49,153609,4065.41,8.1
LN14098403,1263438.67,1665933,36051.76,13.9
LN31950714,462980.33,284059,19799.44,9.3
LN44876606,4372.26,8181,503.13,11.6
LN36310978,227393.03,302353,83724.63,13.8
LN34007713,984788.9,423983,2501.37,13.0
LN30456409,564506.61,226197,31565.1,13.9
LN23826273,406635.48,799461,159371.13,8.1
LN28007309,18289.16,7729,1145.1,13.1
LN13435676,2734.38,4031,106.42,9.8
LN53463704,6699.27,4555,774.47,8.2
LN64897291,604413.23,497440,67366.9,12.8
LN33280084,1473806.06,1018874,36019.72,8.3
LN56349869,138735.57,238912,17936.11,12.8
LN19962960,127732.45,199749,52283.37,12.1
LN42919772,1661620.78,1196808,325419.15,14.4
LN33891556,281154.63,265939,44700.0,11.3
LN55955454,1263510.8,1772647,466354.15,10.9
LN15273361,71606.95,92408,27156.43,8.5
LN30274934,214097.66,373690,32697.9,9.0
LN77707480,399974.52,463602,134323.67,9.4
LN49547414,14604.53,15060,287.16,14.0
LN80701647,42229.14,65174,15921.2,12.2
LN31287741,2460.18,2102,331.73,11.5
LN19871147,12861.74,39039,7687.81,8.0
LN73311802,1000018.32,635159,126018.89,9.0
LN14355481,196222.28,250475,1633.66,8.6
LN62715438,438690.73,705808,10785.07,13.5
LN97348932,4345.59,4817,847.06,9.4
LN32284952,1048403.45,1333867,267175.09,14.3
LN42760971,304918.51,291298,52686.55,11.2
LN41674970,116201.04,171200,24107.84,12.7
LN91954944,93025.29,107928,29579.33,12.8
LN21050659,107396.75,120111,15721.47,9.7
LN38265862,130422.74,128323,25568.64,14.7
LN45913882,7761.66,17337,3322.44,8.8
LN13374788,9516.38,5919,1323.14,9.0
LN29410046,8421.52,24618,2828.76,8.2
LN36975771,748192.68,322102,34671.58,13.0
LN85899476,276776.53,166019,21847.99,9.5
LN16315151,881783.88,1758320,329941.47,8.0
LN10188296,6115.92,10643,622.08,10.8
LN96238824,601108.43,1324263,306448.09,9.1
LN27212740,92851.12,202868,18832.4,10.6
LN73511044,699941.43,1823472,83714.04,9.2
LN93582505,94352.3,165593,29729.12,11.0
LN93378858,372189.63,596855,41360.85,9.7
LN77968480,2229721.08,1450083,152257.62,8.8
LN33512095,576980.14,1193477,144831.84,9.6
LN32737148,10368.21,20008,409.06,8.1
LN46039327,18589.65,14499,2238.8,13.3
LN38461867,72021.11,141601,22008.94,10.0
LN18905171,826603.34,1727684,32465.52,11.0
LN30515988,323820.77,379773,5132.38,12.7
LN19011454,33299.21,61578,4124.74,10.5
LN84467843,6408.76,10254,2812.36,11.6
LN22496220,551994.61,270738,80473.56,11.5
LN85080156,58950.41,113650,27005.4,11.7
LN17419564,463549.67,881836,124287.72,10.3
LN64277257,1523665.0,1002789,229515.69,8.7
LN33298583,81005.0,202518,56931.26,9.5
LN59981340,55387.91,72046,15778.25,11.6
LN44186907,940564.39,415161,36099.29,12.7
LN28321162,581447.28,219390,24283.97,14.7
LN59655621,997366.08,1399204,183168.07,10.9
LN30159151,929936.55,1838056,472940.42,11.5
LN81039342,511537.58,223871,34070.35,12.8
LN49185414,154660.69,198302,57526.24,14.2
LN97014155,405295.05,627731,100885.78,10.0
LN24521410,9312.37,18226,496.36,11.4
LN62434213,1005307.43,1224856,313202.65,12.3
LN92057168,254190.24,328223,73741.07,11.7
LN42456547,67783.33,45031,6480.74,8.6
LN76658884,42858.28,43824,12337.23,14.2
LN92337063,123740.92,229785,19289.5,10.5
LN63226640,4317641.64,1757702,485678.85,13.7
LN76131023,8511.48,16093,1872.01,11.7
LN77419832,3830873.75,1749863,474668.74,12.3
LN26302807,1115593.87,417930,59511.68,14.8
LN33090922,268089.27,384042,62064.23,10.7
LN71875946,1125715.61,1744071,494598.52,10.0
LN33891422,4210394.42,1827999,281598.56,12.9
LN56236520,89246.66,103540,14530.1,12.8
LN65631592,18322.15,13025,892.05,8.0
LN82926093,833609.65,380703,106242.54,12.3
LN45037780,126257.91,113704,15107.57,11.8
LN50580885,323041.41,652522,21039.69,11.3
LN49692834,35890.54,15892,4717.71,12.6
LN16859774,661215.73,740997,180640.11,13.2
LN27026119,283678.95,345464,60022.23,12.3
LN44386553,21718.77,16686,3694.98,13.5
LN37306554,108164.48,228310,41605.15,10.9
LN71546556,24443.55,16978,379.16,8.2
LN99102651,78664.1,65171,13027.91,12.7
LN64048847,4696.79,6387,1235.1,10.8
LN14509419,458276.34,352155,61421.96,13.6
LN53600716,15578.56,14918,3432.04,14.9
LN32032208,8884.71,11789,3238.38,13.6
LN79442583,9636.15,14794,3552.86,9.9
LN56448871,377794.38,201954,9469.18,10.6
LN34505983,465774.3,1151930,235984.72,9.6
LN51928170,20198.28,15131,2531.65,13.8
LN46358981,530974.22,207934,52807.24,14.2
LN96004739,3124.91,4195,788.63,13.0
LN25327195,2496061.47,1361982,222308.08,10.4
LN16412123,305064.24,234365,56605.21,13.6
LN40512155,502523.61,189598,36595.08,14.7
LN44926303,121682.52,220904,41197.93,10.7
LN50776477,754544.38,1351780,142025.56,8.8
LN17222807,53816.61,88878,11422.48,13.2
LN37265444,6885.95,10982,1652.2,13.3
LN73254126,298974.84,452582,26602.08,10.2
LN49410070,92716.17,195639,40521.39,10.9
LN18661812,119062.08,272432,27384.48,8.8
LN24928494,223363.58,269576,18375.48,14.9
LN44265398,3894.61,6442,1619.06,11.1
LN73618812,6873.74,5853,546.26,12.1
LN33764095,99107.6,49442,8673.28,11.3
LN49355470,580311.14,1511726,31854.52,9.2
LN40129458,167469.83,200976,5745.03,9.1
LN16685614,301007.61,180563,47501.51,9.5
LN64249563,2102694.58,936081,1731.34,12.6
LN49824849,461775.08,1004223,31759.57,9.2
LN46512097,3222723.16,1626029,184929.3,11.2
LN45453861,3598.07,2849,826.77,12.6
LN46816809,223077.93,224135,12172.37,10.7
LN61584310,944904.85,1888328,168326.9,11.4
LN76297226,12597.7,22989,3154.85,12.1
LN45107333,163199.36,147020,31856.14,11.8
LN96026446,1037333.17,1377260,132134.83,8.3
LN34050715,1106630.22,1536181,438678.91,11.0
LN95602275,505843.55,880861,245575.66,12.7
LN86091780,96201.46,137627,8770.33,10.7
LN77863815,91808.25,177747,10196.97,8.2
LN14371789,25626.17,34572,3105.23,11.2
LN50831025,14340.92,17851,2637.48,14.4
LN64116719,171528.0,64670,16180.61,14.7
LN34785067,180593.61,221964,2860.93,12.2
LN25945455,2130983.56,1886049,326898.87,12.0
LN26778038,16378.59,22474,5180.89,11.0
LN66842076,6234.9,6406,450.97,10.2
LN31687686,390197.55,466321,106570.37,12.5
LN25753155,478688.72,720885,89175.64,14.2
LN75590648,165732.36,164763,2845.37,10.8
LN53983482,27634.11,14387,123.98,10.8
LN49662819,134086.24,138941,12755.96,10.4
LN26444294,39921.45,77066,6024.09,8.2
LN26434830,8951.75,5907,1749.62,8.5
LN47819006,30375.41,52508,4528.45,11.1
LN51817584,392059.94,1207893,281506.17,8.0
LN27748447,346448.09,767114,59679.82,10.5
LN24202870,26934.74,22213,5011.44,12.7
LN13414972,1274075.84,1951565,293214.68,10.1
LN88760946,147831.72,181424,41683.94,14.7
LN91536328,3659.7,5247,1382.85,10.2
LN97834661,849397.95,1400412,21499.92,11.6
LN45893252,323296.28,183754,42438.35,10.0
LN62397608,211632.89,257602,10223.49,14.8
LN95716987,40720.5,15526,4178.23,14.5
LN34639788,475723.15,780425,55844.05,13.3
LN45866927,43461.69,22688,2477.87,10.8
LN21831507,3805941.33,1513799,74073.46,14.0
LN94243329,336230.44,459656,41047.32,13.5
LN40337602,13192.4,21550,2383.96,13.2
LN28790995,87509.71,213315,34084.86,9.7
LN67184624,704283.23,816501,198721.06,9.4
LN59992904,557777.23,210454,50327.3,14.7
LN85002264,56638.27,24710,5813.76,12.8
LN62222248,2389433.0,1037365,151336.03,12.9
LN29084264,115730.65,72551,5441.33,9.1
LN81199136,311110.66,339337,12265.52,13.5
LN52474530,7935.37,15441,3259.14,8.0
LN84383630,75406.42,130843,28580.02,11.1
LN72362321,1344649.61,941413,198112.44,8.2
LN34406895,197646.7,240111,66763.92,9.0
LN42329987,13921.54,21524,6302.91,9.9
LN80382368,1468060.34,1867878,493193.33,14.3
LN37585149,434700.23,957544,234795.68,9.1
LN26246572,12947.17,19037,1892.49,14.3
LN96919728,144747.75,229226,6082.17,9.8
LN29667610,2363159.13,1088827,313880.52,12.2
LN54550547,12324.59,13720,3790.37,13.1
LN12435116,834924.92,596565,128951.33,14.5
LN37179301,7427.14,13599,2602.84,10.4
LN46376384,154919.94,237479,4461.26,14.0
LN56260455,61615.46,122507,12073.2,8.0
LN93688026,31682.54,14639,2867.65,12.1
LN96253754,208843.54,149911,35915.97,8.0
LN87632164,281578.8,221852,42301.6,13.3
LN64296579,493761.63,1376121,246013.81,8.7
LN51610859,327745.15,235955,52700.32,14.4
LN92517394,653147.2,267925,58181.45,13.6
LN64896056,7272.39,3153,303.25,12.6
LN49240576,212036.47,102054,26917.41,11.7
LN63910958,127024.75,250040,69519.35,10.0
LN25848963,800493.15,368771,62248.66,12.2
LN87853832,444574.06,199535,58664.21,12.5
LN78885039,1165127.07,807032,57544.04,14.9
LN17460033,114761.95,164241,7708.91,10.7
LN61553113,506180.94,1086937,109995.74,9.3
LN16118414,53279.88,20954,4721.98,14.1
LN71664890,174065.0,147011,6005.59,12.5
LN35339982,17059.22,13531,502.78,13.1
LN97426493,560695.29,293912,61762.3,10.8
LN34838067,205348.57,212557,8569.93,14.1
LN60121174,379324.36,249553,14474.4,8.7
LN79205422,210711.03,186335,19020.11,12.0
LN39412870,4382.86,9848,1328.31,10.0
LN37926639,149717.99,248646,11958.54,9.4
LN84015632,23286.11,34973,5133.2,10.2
LN74915810,243305.61,152663,21851.18,9.1
LN19046918,62499.58,66050,13693.17,10.2
LN70003878,289571.55,373938,53267.5,11.7
LN42413828,751663.01,624156,45593.68,12.7
LN23940784,1101725.38,494611,89051.83,12.5
LN46456810,1433658.84,1743184,383654.39,9.0
LN64831489,49592.29,20925,272.32,13.2
LN20376089,275842.03,431149,39858.35,13.8
LN28879927,59656.32,113804,13922.54,8.3
LN14220741,200249.87,280704,75616.13,10.9
LN73792812,778818.19,1162245,162174.23,14.3
LN68427135,9701.28,11424,3226.48,9.1
LN15451381,8637.18,8233,860.52,11.0
LN80211126,125264.45,208427,35072.82,11.5
LN86461522,10609.12,16151,830.0,12.2
LN14135661,132467.15,133622,4587.64,14.4
LN43916273,54919.73,135389,15537.84,9.6
LN28733143,1070643.27,836840,26884.29,13.4
LN59187147,20941.39,21301,242.69,10.5
LN63358027,197438.72,220991,8509.41,9.7
LN58307913,142470.23,287287,54024.3,9.8
LN75599895,13145.11,21578,6347.6,11.5
LN55422748,77880.54,222735,9099.18,8.5
LN43100447,509793.37,280933,80075.72,10.3
LN23466133,453043.6,796949,223519.44,12.6
LN46572150,70712.64,95884,2171.87,11.2
LN85384391,177925.18,288550,66792.09,9.6
LN31611443,8247.58,5712,897.49,8.1
LN21314986,65568.65,45778,12359.59,8.2
LN43565741,3827139.05,1860493,29061.43,11.6
LN65232420,9857.72,6911,1665.64,14.5
LN81978260,1211739.81,1916958,14902.15,12.0
LN45008622,2191593.92,1684635,285395.87,13.6
LN71972738,828699.12,1138295,276167.72,11.1
LN73532452,776425.79,471132,71183.16,9.4
LN43234279,678808.45,1521397,266674.78,10.4
LN25300581,103852.66,162124,38275.8,13.8
LN27320265,90369.19,115770,3216.68,14.2
LN76625176,190941.92,184166,25917.71,11.1
LN80655919,448723.02,201397,28530.12,12.5
LN20955217,3091529.86,1299109,355091.51,13.3
LN28127341,12659.98,16433,1705.0,11.5
LN93797481,582030.52,242561,70980.11,13.4
LN35218978,243321.42,211251,58094.79,12.2
LN70296829,39021.61,97989,11553.08,8.1
LN31941498,50975.77,101320,28216.55,9.9
LN74380691,944452.08,1430326,350666.81,10.2
LN53650967,15437.53,18892,2296.19,14.6
LN96929526,750087.23,289390,69372.21,14.4
LN94283904,528122.4,220087,46858.2,13.4
LN63316073,156111.71,262459,31202.09,9.3
LN12428241,540145.43,422110,10643.84,13.4
LN96889974,248200.86,244373,11165.9,14.7
LN92843216,133881.86,144627,2993.26,13.6
LN11135347,440448.85,498000,72524.69,13.1
LN79080929,217380.85,227787,39023.36,10.3
LN49120240,238295.8,166232,28574.64,14.8
LN51621847,178577.57,203632,54655.05,13.0
LN16011708,90433.3,209755,7709.09,10.1
LN52324351,9725.81,18045,2727.5,11.9
LN84765124,943287.64,1975729,101029.16,9.5
LN79477713,12829.89,18652,86.48,12.7
LN39685397,1168945.22,1309481,192612.52,9.7
LN72076154,457406.94,337355,45187.9,14.1
LN23732179,384836.25,286119,83173.88,14.0
LN49262468,930718.88,1585685,453497.21,9.2
LN81917807,1285716.56,1622062,223574.85,8.7
LN60898705,143891.58,57602,10623.22,13.9
LN86968525,754952.86,1475894,260827.72,11.6
LN71953866,118924.82,272671,78054.44,10.2
LN49242956,38112.34,49486,9860.89,11.6
LN63760361,9998.0,14769,2929.99,14.2
LN20043263,52220.3,22591,2650.14,12.9
LN89482545,67422.9,110462,14416.97,9.5
LN45657924,411736.04,168866,15695.29,13.6
LN55316735,15700.5,12653,2748.54,12.9
LN10561228,9145.72,8676,461.16,14.9
LN24486016,123569.14,147515,40202.72,12.5
LN53155757,25951.86,21581,4062.69,12.6
LN65923348,998683.61,426462,19448.81,13.1
LN89609122,546987.16,1046313,57825.3,11.8
LN14511307,932668.26,470510,14434.69,11.2
LN62500591,303152.21,256161,64479.21,12.5
LN73568764,252838.96,268600,26108.13,13.8
LN53801196,120552.28,75579,21788.87,9.1
LN17494104,832108.27,1159332,280186.22,13.3
LN70068562,248367.67,336361,47596.4,13.6
LN51513880,33348.32,89938,9101.68,8.9
LN50747825,291462.5,275692,17265.7,11.3
LN25925399,173497.99,233177,55601.84,8.2
LN59187481,799544.05,320409,72057.28,13.9
LN18498895,12954.6,15542,2582.87,14.8
LN53517679,34738.15,66511,2393.36,10.2
LN80965487,3598.5,8589,1001.52,8.1
LN73266816,170822.12,227278,24629.38,11.4
LN61273312,81889.27,34056,5466.36,13.4
LN40233614,1279772.44,1834483,263114.01,13.0
LN32379231,165136.39,373068,50893.03,8.9
LN91043967,734491.45,1164445,151173.3,9.8
LN55473546,15827.21,18521,2956.21,12.6
LN26062349,24736.16,61501,11719.73,9.5
LN31344637,124377.67,263419,44599.86,9.4
LN92094328,770595.44,651404,71855.53,12.5
LN63079605,1130917.95,1657177,429101.09,14.5
LN95138044,210370.72,258288,42780.42,14.7
LN84752604,23439.98,8586,1362.53,15.0
LN78676308,226691.95,116489,9835.89,11.0
LN96881005,643621.67,266110,42116.06,13.5
LN59839229,14749.74,20942,837.33,14.7
LN45873326,368429.25,280739,63152.3,13.7
LN15278022,35102.72,20278,939.92,9.8
LN90062615,104366.66,101810,3775.89,14.8
LN92710798,87360.84,124969,8132.78,13.0
LN18883270,149174.15,270873,80715.5,10.7
LN88271380,14135.8,27823,2702.78,9.9
LN28369348,25732.33,17658,77.63,8.3
LN46057182,228060.49,294880,402.38,8.5
LN70914653,264972.72,281488,25734.45,13.8
LN46044423,641427.41,890284,192424.81,11.0
